standard_source,standard_target
IBSP,ITGB3
ADAM15,ITGB3
PTK2,GSK3B
MET,GSK3B
PRKCZ,GSK3B
LRP5,GSK3B
SRC,PKP3
SRC,TNK2
EGFR,TNK2
PDGFRB,TNK2
SRC,NPHP1
MMP14,PTK7
SRC,ZAP70
FYN,ZAP70
LCK,ZAP70
PTPN6,ZAP70
CBL,ZAP70
PTPRG,ZAP70
SRC,ENG
TGFBR1,ENG
TGFBR2,ENG
SRC,KCNJ1
SRC,AURKA
SRC,MEGF10
SRC,NTRK1
NGF,NTRK1
PTPN6,NTRK1
NGFR,NTRK1
NTF3,NTRK1
NTF4,NTRK1
EGFR,ERBB2
JAK2,ERBB2
TGFA,ERBB2
EGF,ERBB2
NRG1,ERBB2
CBL,ERBB2
STUB1,ERBB2
PTPN11,ERBB2
PTPRO,ERBB2
AREG,ERBB2
LRIG1,ERBB2
PTPRG,ERBB2
SRC,CNTNAP1
SRC,VCL
PTPRG,VCL
SRC,CASP9
APAF1,CASP9
PRKCZ,CASP9
GZMB,CASP9
TLR4,MYD88
FADD,MYD88
COMPLEX:IL1R1_IL1RAP,MYD88
TLR2,MYD88
TLR9,MYD88
IL1R1,MYD88
IL1RL1,MYD88
SIGIRR,MYD88
SRC,TLR4
HMGB1,TLR4
LY96,TLR4
CD14,TLR4
S100A8,TLR4
S100A9,TLR4
SRC,MAPKAPK5
SRC,ANXA1
EGFR,ANXA1
SRC,LRP1
A2M,LRP1
MMP9,LRP1
SERPINC1,LRP1
MMP13,LRP1
PLAU,LRP1
SERPINE1,LRP1
F9,LRP1
PLAT,LRP1
SERPING1,LRP1
SERPINA1,LRP1
TFPI,LRP1
LRPAP1,LRP1
SERPINE2,LRP1
ICAM1,ITGAL
ICAM5,ITGAL
ICAM2,ITGAL
ICAM4,ITGAL
SRC,PAK2
CASP8,PAK2
SRC,CHRNA7
SRC,MPZL1
PTPN11,MPZL1
SRC,FLOT1
SRC,CYP19A1
SRC,CDH5
CTNND1,CDH5
VEGFA,CDH5
PTPRB,CDH5
ICAM1,CDH5
SRC,EZR
EGFR,EZR
PRKCI,EZR
SYK,EZR
GRK2,EZR
L1CAM,EZR
CD81,EZR
SRC,ENO1
SRC,LPIN1
SRC,DCC
FYN,DCC
NTN1,DCC
NTN4,DCC
SRC,PRKCD
FYN,PRKCD
LCK,PRKCD
LYN,PRKCD
SYK,PRKCD
PTPRG,PRKCD
SRC,BCKDK
SRC,PDPK1
IGF1R,PDPK1
RET,PDPK1
SRC,CASP8
LYN,CASP8
TNFSF10,CASP8
TNFRSF10A,CASP8
TNFRSF10B,CASP8
TRAF2,CASP8
TNFRSF1A,CASP8
FADD,CASP8
GZMB,CASP8
PTPN6,CASP8
SRC,FERMT2
SRC,MUC1
EGFR,MUC1
LCK,MUC1
ADAM17,MUC1
SRC,SLC6A4
SRC,DAG1
AGRN,DAG1
NRXN2,DAG1
NRXN1,DAG1
LAMA2,DAG1
LAMA5,DAG1
LAMA1,DAG1
SRC,GAK
SRC,FLT4
VEGFD,FLT4
VEGFC,FLT4
SRC,GJA1
FGF2,GJA1
SRC,SLC11A1
SRC,PTEN
LCK,PTEN
TP53,PTEN
INSR,PTEN
FGFR2,PTEN
DLG1,PTEN
MAGI2,PTEN
MAGI3,PTEN
MAGI1,PTEN
SMO,PRKACA
SRC,NOS2
NFKB1,NOS2
TGFB1,NOS2
CASP8,CASP7
GZMB,CASP7
COMPLEX:CASP8,CASP7
SRC,PBK
LNX1,PBK
SRC,PANX1
SRC,CEACAM1
EGFR,CEACAM1
SRC,SIRT2
TP53,TGFA
ADAM17,TGFA
SRC,JUP
FYN,JUP
SRC,HSP90AB1
TP53,HSP90AB1
SRC,PIP5K1C
CDH1,PIP5K1C
ARF6,PIP5K1C
SRC,KCNA3
LYN,PRKCA
MST1,PRKCA
SYK,PRKCA
GNAI2,FGR
GNAI1,FGR
S1PR1,FGR
EGFR,KCND3
SRC,PDCD6IP
SRC,ARHGEF2
SRC,ANXA2
SRC,HCN4
SRC,TXK
FYN,TXK
FYN,CDK5
SRC,GLRB
SRC,PRMT5
JAK2,PRMT5
SRC,TRIP6
PTPN13,TRIP6
LPAR2,TRIP6
SRC,ADAM12
SRC,PKD1
ADAM17,ITGB1
ADAM9,ITGB1
TLN1,ITGB1
THBS1,ITGB1
FN1,ITGB1
RELN,ITGB1
COL1A1,ITGB1
VTN,ITGB1
FGA,ITGB1
ITGB1BP1,ITGB1
COL2A1,ITGB1
TNC,ITGB1
SPP1,ITGB1
PTPRG,ITGB1
SEMA7A,ITGB1
COL18A1,ITGB1
PLG,ITGB1
ADAM12,ITGB1
VCAM1,ITGB1
COL4A1,ITGB1
COL1A2,ITGB1
NPNT,ITGB1
THBS2,ITGB1
LAMA2,ITGB1
LAMA5,ITGB1
LAMB1,ITGB1
LAMC1,ITGB1
LAMC2,ITGB1
ADAM2,ITGB1
ADAM15,ITGB1
CHAD,ITGB1
DUSP18,ITGB1
PTK2,PTPRH
FN1,ITGB6
VTN,ITGB6
EGFR,LYN
GNAI2,LYN
CBL,LYN
PTPRC,LYN
S1PR1,LYN
FN1,ITGB8
VTN,ITGB8
SPP1,ITGB8
COL4A1,ITGB8
LAMA1,ITGB8
SRC,ITGB5
ADAM9,ITGB5
